Fichier, Temps Naif, Temps Welzl
test-1365.points, 43552, 175
test-1366.points, 51284, 486
test-1367.points, 293, 389
test-1368.points, 54188, 195
test-1369.points, 32080, 509
test-137.points, 50952, 330
test-1370.points, 40075, 169
test-1371.points, 49620, 327
test-1372.points, 49856, 505
test-1373.points, 44427, 225
test-1374.points, 38380, 370
test-1375.points, 48833, 388
test-1376.points, 54892, 313
test-1377.points, 34528, 371
test-1378.points, 38132, 397
test-1379.points, 54254, 331
test-138.points, 50036, 273
test-1380.points, 53591, 284
test-1381.points, 40468, 340
test-1382.points, 55090, 234
test-1383.points, 46423, 465
test-1384.points, 38416, 511
test-1385.points, 40187, 327
test-1386.points, 38758, 319
test-1387.points, 47181, 116
test-1388.points, 42491, 388
test-1389.points, 47994, 292
test-139.points, 53040, 362
test-1390.points, 39762, 214
test-1391.points, 35907, 412
test-1392.points, 45139, 389
test-1393.points, 39164, 457
test-1394.points, 47096, 299
test-1395.points, 43931, 172
test-1396.points, 39590, 349
test-1397.points, 32231, 714
test-1398.points, 37160, 536
test-1399.points, 221, 200
test-14.points, 41187, 447
test-140.points, 51569, 139
test-1400.points, 48750, 449
test-1401.points, 44604, 288
test-1402.points, 46064, 422
test-1403.points, 43842, 289
test-1404.points, 31716, 271
test-1405.points, 47653, 175
test-1406.points, 31843, 247
test-1407.points, 33924, 591
test-1408.points, 50021, 526
test-1409.points, 47361, 312
test-141.points, 44023, 249
test-1410.points, 41948, 498
test-1411.points, 46267, 289
test-1412.points, 46592, 523
test-1413.points, 43697, 393
test-1414.points, 48713, 343
test-1415.points, 37509, 424
test-1416.points, 54666, 254
test-1417.points, 32294, 139
test-1418.points, 41250, 2646
test-1419.points, 45513, 588
test-142.points, 50025, 286
test-1420.points, 45308, 178
test-1421.points, 57712, 477
test-1422.points, 35564, 177
test-1423.points, 45698, 268
test-1424.points, 45968, 424
test-1425.points, 52219, 247
test-1426.points, 33472, 285
test-1427.points, 53854, 188
test-1428.points, 41982, 309
test-1429.points, 46853, 297
test-143.points, 38866, 354
test-1430.points, 47025, 367
test-1431.points, 30519, 314
test-1432.points, 50836, 413
test-1433.points, 43959, 121
test-1434.points, 53678, 184
test-1435.points, 59364, 512
test-1436.points, 34723, 261
test-1437.points, 49666, 284
test-1438.points, 34108, 343
test-1439.points, 48047, 444
test-144.points, 54409, 580
test-1440.points, 54416, 352
test-1441.points, 45088, 289
test-1442.points, 48193, 246
test-1443.points, 47643, 232
test-1444.points, 44481, 209
test-1445.points, 49403, 468
test-1446.points, 49873, 235
test-1447.points, 50741, 449
test-1448.points, 349, 268
test-1449.points, 37656, 518
test-145.points, 31725, 319
test-1450.points, 39099, 475
test-1451.points, 37082, 234
test-1452.points, 32749, 238
